"team_id","team_name"
1,"Arsenal"
22,"Leicester City"
24,"Liverpool"
25,"Southampton"
29,"Everton"
33,"Chelsea"
36,"Manchester City"
37,"Newcastle United"
38,"Tottenham Hotspur"
39,"Manchester United"
46,"Wolverhampton Wanderers"
47,"Middlesbrough"
54,"Birmingham City"
55,"Fulham"
59,"Aston Villa"
75,"Charlton Athletic"
98,"Blackburn Rovers"
101,"Leeds United"
105,"Portsmouth"
205,"Leganés"
206,"Deportivo Alavés"
207,"Valencia"
209,"Celta Vigo"
210,"Real Sociedad"
211,"Girona"
212,"Atlético Madrid"
213,"Sevilla"
214,"Espanyol"
215,"Athletic Club"
216,"Getafe"
217,"Barcelona"
218,"Real Betis"
220,"Real Madrid"
221,"Levante UD"
222,"Villarreal"
322,"Eibar"
328,"Bolton Wanderers"
360,"Rayo Vallecano"
422,"Osasuna"
552,"Cádiz"
901,"Real Valladolid"
902,"Huesca"
1042,"Elche"
1043,"Mallorca"
1049,"Granada"
